#Date;Value 18:50 MSK
2016-12-01;63.8166
2016-11-30;64.4372
2016-11-29;65.3598
2016-11-28;64.8077
2016-11-25;64.8947
2016-11-24;64.39
2016-11-23;64.6105
2016-11-22;64.0112
2016-11-21;63.905
2016-11-18;64.8088
2016-11-17;64.6173
2016-11-16;64.582
2016-11-15;64.8073
2016-11-14;66.329
2016-11-11;65.9794
2016-11-10;64.7908
2016-11-09;63.9867
2016-11-08;63.7365
2016-11-07;63.813
2016-11-03;63.6635
2016-11-02;63.7355
2016-11-01;63.1182
2016-10-31;63.3918
2016-10-28;62.9183
2016-10-27;62.8288
2016-10-26;62.8696
2016-10-25;62.1454
2016-10-24;62.2198
2016-10-21;62.5243
2016-10-20;62.4346
2016-10-19;62.2778
2016-10-18;62.8522
2016-10-17;63.0802
2016-10-14;63.0143
2016-10-13;63.0166
2016-10-12;63.0495
2016-10-11;62.7055
2016-10-10;61.9315
2016-10-07;62.246
2016-10-06;62.2321
2016-10-05;62.4243
2016-10-04;62.48
2016-10-03;62.2966
2016-09-30;62.8851
2016-09-29;62.9974
2016-09-28;63.9751
2016-09-27;63.9482
2016-09-26;63.779
2016-09-23;63.7635
2016-09-22;63.6655
2016-09-21;64.2453
2016-09-20;64.7053
2016-09-19;64.5462
2016-09-16;64.9423
2016-09-15;64.7795
2016-09-14;65.0608
2016-09-13;65.1978
2016-09-12;64.6807
2016-09-09;64.679
2016-09-08;63.7677
2016-09-07;64.3265
2016-09-06;64.55
2016-09-05;65.0182
2016-09-02;65.085
2016-09-01;65.9043
2016-08-31;65.3607
2016-08-30;65.2505
2016-08-29;65.0531
2016-08-26;64.5085
2016-08-25;64.7318
2016-08-24;65.2243
2016-08-23;64.4628
2016-08-22;64.7216
2016-08-19;63.9293
2016-08-18;63.6501
2016-08-17;64.258
2016-08-16;63.8498
2016-08-15;64.0762
2016-08-12;64.9191
2016-08-11;64.5433
2016-08-10;64.6486
2016-08-09;64.6042
2016-08-08;64.6464
2016-08-05;65.4755
2016-08-04;66.0588
2016-08-03;66.3973
2016-08-02;66.7234
2016-08-01;66.498
2016-07-29;66.0432
2016-07-28;66.6775
2016-07-27;66.2618
2016-07-26;66.0379
